protocol,topology,num_replicas,set_size,payload_size,digest_bits,divergence,pattern,seed,round_cap,rounds,converged,target_union_size,total_state_bytes_sent,total_state_bytes_received,total_metadata_bytes_sent,total_metadata_bytes_received,total_encode_time_ns,total_decode_time_ns,total_elements_added
FullStateTransfer,Star,8,10000,32,64,0.2,Uniform,5,20,2,true,21034,3530880,3530880,0,0,0,0,88272
FullStateTransfer,Star,8,10000,32,64,0.2,Uniform,6,20,2,true,20988,3516160,3516160,0,0,0,0,87904
FullStateTransfer,Star,8,10000,32,64,0.2,Uniform,7,20,2,true,20971,3510720,3510720,0,0,0,0,87768
FullStateTransfer,Star,8,10000,32,64,0.2,Uniform,8,20,2,true,20998,3519360,3519360,0,0,0,0,87984
FullStateTransfer,Star,8,10000,32,64,0.2,Uniform,9,20,2,true,21001,3520320,3520320,0,0,0,0,88008
FullStateTransfer,Tree,8,10000,32,64,0.001,Uniform,0,20,5,true,10070,22400,22400,0,0,0,0,560
FullStateTransfer,Tree,8,10000,32,64,0.001,Uniform,1,20,5,true,10070,22400,22400,0,0,0,0,560
FullStateTransfer,Tree,8,10000,32,64,0.001,Uniform,2,20,5,true,10070,22400,22400,0,0,0,0,560
FullStateTransfer,Tree,8,10000,32,64,0.001,Uniform,3,20,5,true,10070,22400,22400,0,0,0,0,560
FullStateTransfer,Tree,8,10000,32,64,0.001,Uniform,4,20,5,true,10070,22400,22400,0,0,0,0,560
FullStateTransfer,Tree,8,10000,32,64,0.001,Uniform,5,20,5,true,10070,22400,22400,0,0,0,0,560
FullStateTransfer,Tree,8,10000,32,64,0.001,Uniform,6,20,5,true,10070,22400,22400,0,0,0,0,560
FullStateTransfer,Tree,8,10000,32,64,0.001,Uniform,7,20,5,true,10070,22400,22400,0,0,0,0,560
FullStateTransfer,Tree,8,10000,32,64,0.001,Uniform,8,20,5,true,10070,22400,22400,0,0,0,0,560
FullStateTransfer,Tree,8,10000,32,64,0.001,Uniform,9,20,5,true,10070,22400,22400,0,0,0,0,560
FullStateTransfer,Tree,8,10000,32,64,0.01,Uniform,0,20,5,true,10691,221120,221120,0,0,0,0,5528
FullStateTransfer,Tree,8,10000,32,64,0.01,Uniform,1,20,5,true,10691,221120,221120,0,0,0,0,5528
FullStateTransfer,Tree,8,10000,32,64,0.01,Uniform,2,20,5,true,10689,220480,220480,0,0,0,0,5512
FullStateTransfer,Tree,8,10000,32,64,0.01,Uniform,3,20,5,true,10690,220800,220800,0,0,0,0,5520
FullStateTransfer,Tree,8,10000,32,64,0.01,Uniform,4,20,5,true,10687,219840,219840,0,0,0,0,5496
FullStateTransfer,Tree,8,10000,32,64,0.01,Uniform,5,20,5,true,10687,219840,219840,0,0,0,0,5496
FullStateTransfer,Tree,8,10000,32,64,0.01,Uniform,6,20,5,true,10691,221120,221120,0,0,0,0,5528
FullStateTransfer,Tree,8,10000,32,64,0.01,Uniform,7,20,5,true,10686,219520,219520,0,0,0,0,5488
FullStateTransfer,Tree,8,10000,32,64,0.01,Uniform,8,20,5,true,10688,220160,220160,0,0,0,0,5504
FullStateTransfer,Tree,8,10000,32,64,0.01,Uniform,9,20,5,true,10691,221120,221120,0,0,0,0,5528
FullStateTransfer,Tree,8,10000,32,64,0.05,Uniform,0,20,5,true,13283,1050560,1050560,0,0,0,0,26264
FullStateTransfer,Tree,8,10000,32,64,0.05,Uniform,1,20,5,true,13278,1048960,1048960,0,0,0,0,26224
FullStateTransfer,Tree,8,10000,32,64,0.05,Uniform,2,20,5,true,13250,1040000,1040000,0,0,0,0,26000
FullStateTransfer,Tree,8,10000,32,64,0.05,Uniform,3,20,5,true,13259,1042880,1042880,0,0,0,0,26072
FullStateTransfer,Tree,8,10000,32,64,0.05,Uniform,4,20,5,true,13240,1036800,1036800,0,0,0,0,25920
FullStateTransfer,Tree,8,10000,32,64,0.05,Uniform,5,20,5,true,13237,1035840,1035840,0,0,0,0,25896
FullStateTransfer,Tree,8,10000,32,64,0.05,Uniform,6,20,5,true,13255,1041600,1041600,0,0,0,0,26040
FullStateTransfer,Tree,8,10000,32,64,0.05,Uniform,7,20,5,true,13235,1035200,1035200,0,0,0,0,25880
FullStateTransfer,Tree,8,10000,32,64,0.05,Uniform,8,20,5,true,13227,1032640,1032640,0,0,0,0,25816
FullStateTransfer,Tree,8,10000,32,64,0.05,Uniform,9,20,5,true,13253,1040960,1040960,0,0,0,0,26024
FullStateTransfer,Tree,8,10000,32,64,0.1,Uniform,0,20,5,true,16104,1953280,1953280,0,0,0,0,48832
FullStateTransfer,Tree,8,10000,32,64,0.1,Uniform,1,20,5,true,16153,1968960,1968960,0,0,0,0,49224
FullStateTransfer,Tree,8,10000,32,64,0.1,Uniform,2,20,5,true,16122,1959040,1959040,0,0,0,0,48976
FullStateTransfer,Tree,8,10000,32,64,0.1,Uniform,3,20,5,true,16128,1960960,1960960,0,0,0,0,49024
FullStateTransfer,Tree,8,10000,32,64,0.1,Uniform,4,20,5,true,16119,1958080,1958080,0,0,0,0,48952
FullStateTransfer,Tree,8,10000,32,64,0.1,Uniform,5,20,5,true,16107,1954240,1954240,0,0,0,0,48856
FullStateTransfer,Tree,8,10000,32,64,0.1,Uniform,6,20,5,true,16117,1957440,1957440,0,0,0,0,48936
FullStateTransfer,Tree,8,10000,32,64,0.1,Uniform,7,20,5,true,16104,1953280,1953280,0,0,0,0,48832
FullStateTransfer,Tree,8,10000,32,64,0.1,Uniform,8,20,5,true,16091,1949120,1949120,0,0,0,0,48728
FullStateTransfer,Tree,8,10000,32,64,0.1,Uniform,9,20,5,true,16115,1956800,1956800,0,0,0,0,48920
FullStateTransfer,Tree,8,10000,32,64,0.2,Uniform,0,20,5,true,20979,3513280,3513280,0,0,0,0,87832
FullStateTransfer,Tree,8,10000,32,64,0.2,Uniform,1,20,5,true,21072,3543040,3543040,0,0,0,0,88576
FullStateTransfer,Tree,8,10000,32,64,0.2,Uniform,2,20,5,true,21014,3524480,3524480,0,0,0,0,88112
